host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,a0db079,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,0,1997.627248056233,2365.6171665061265,2373.310166830197,71.98770879767835,1925.6395392585546,614.416384,1.0,0.439787304440406,28,20260726-184421
NightingaleCen-MacBook,a0db079,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,0,2632.1548351552337,2797.7143025025725,2811.1756289750338,86.91604202613235,2522.774794138968,367.673344,1.0,0.439787304440406,28,20260726-184537
NightingaleCen-MacBook,a0db079,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,0,1078.5742914304137,1177.4025173392147,1188.4474041964859,142.73704192601144,920.4284995794296,310.24742399999997,1.1905844155844156,1.1871645302540743,28,20260726-184642
NightingaleCen-MacBook,a0db079,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,0,485.42541707865894,708.6663413327187,742.28943455033,97.20525005832314,388.2201670203358,287.86688,1.0,0.9818481588563295,28,20260726-184700
NightingaleCen-MacBook,a0db079,1.27.0,STT,C_dyn,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,0,1818.0639971978962,2578.5455335862935,2592.7383069880307,146.40079205855727,1669.7119562886655,249.54470399999997,1.0258928571428572,0.5156131545910178,28,20260726-184801
NightingaleCen-MacBook,a0db079,1.27.0,STT,C_dyn,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,0,1943.5242919716984,2268.8341627828777,2274.6183703280985,148.0910840909928,1782.8785420861095,237.81376,1.0258928571428572,0.5172365312143945,28,20260726-184857
