host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,12d6659,1.27.0,STT,A,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,24,871.8725400976837,916.8241938576102,917.0183739066124,68.9379998948425,799.3226652033627,608.17408,1.0,0.48392509542941065,28,20260726-174406
NightingaleCen-MacBook,12d6659,1.27.0,STT,A,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,24,859.3250007834285,876.3934685848653,878.2244293950498,90.82537493668497,730.0211258698255,593.379328,1.0,0.48392509542941065,28,20260726-174433
NightingaleCen-MacBook,12d6659,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,24,955.6971685960889,989.1155923251063,989.6354519296438,85.05066693760455,859.6006685402244,572.833792,1.0,0.48392509542941065,28,20260726-174500
NightingaleCen-MacBook,12d6659,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,24,730.9551257640123,766.2757742218673,771.2128208018839,73.4850000590086,668.1055412627757,351.05996799999997,1.0,0.48392509542941065,28,20260726-174525
NightingaleCen-MacBook,12d6659,1.27.0,STT,B,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,24,897.4255009088665,1018.133250484243,1036.6019175294787,93.42362498864532,820.7433337811381,384.548864,1.0,0.48392509542941065,28,20260726-174551
NightingaleCen-MacBook,12d6659,1.27.0,STT,B,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,24,858.8462874758989,969.6847620420158,990.7134233228862,86.6724590305239,759.5693718176335,341.475328,1.0,0.48392509542941065,28,20260726-174618
NightingaleCen-MacBook,12d6659,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,24,429.5173331629485,519.1495338920504,519.459674032405,108.29029185697436,344.3834991194308,352.780288,1.0,0.9830960610050471,28,20260726-174633
NightingaleCen-MacBook,12d6659,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,24,126.57033395953476,191.8290418572724,201.2210084684193,49.057832919061184,86.33866696618497,349.45433599999996,1.0,0.9886904761904762,28,20260726-174638
NightingaleCen-MacBook,12d6659,1.27.0,STT,D_cpu,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,24,126.63374887779355,198.23721679858863,208.36117691360414,42.57716704159975,92.85699925385416,275.808256,1.0,0.9886904761904762,28,20260726-174643
NightingaleCen-MacBook,12d6659,1.27.0,STT,D_cpu,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,24,114.54216577112675,179.50113490223885,188.60782869160175,41.48866678588092,83.630584878847,268.61568,1.0,0.9886904761904762,28,20260726-174648
