host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,be6a21a,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,40,648.0678347870708,980.4461658466607,993.6297655943781,48.21704188361764,597.2129597794265,329.15456,1.0,0.439787304440406,28,20260726-175656
NightingaleCen-MacBook,be6a21a,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,40,715.0997489225119,812.5630071386695,815.7866005599499,52.78658401221037,658.0676659941673,367.181824,1.0,0.439787304440406,28,20260726-175716
NightingaleCen-MacBook,be6a21a,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,40,310.3187498636544,386.6436594631523,393.33596660755575,74.14874993264675,258.3566247485578,393.510912,1.0,0.9830960610050471,28,20260726-175729
NightingaleCen-MacBook,be6a21a,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,40,150.68508498370647,253.61438198015094,264.6118084155023,49.65583304874599,92.87121007218957,317.177856,1.0,0.9886904761904762,28,20260726-175734
NightingaleCen-MacBook,be6a21a,1.27.0,STT,C_dyn,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,40,418.4779564384371,549.7308104299009,553.2762635685503,66.78395788185298,351.6939985565841,225.72236800000002,1.0125,0.5072955313540398,28,20260726-175746
NightingaleCen-MacBook,be6a21a,1.27.0,STT,C_dyn,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,40,354.10832962952554,450.02480638213456,451.1830591503531,62.392333056777716,285.72103870101273,248.18483199999997,1.0125,0.5072955313540398,28,20260726-175757
