host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,373d028,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,0,1127.8040448669344,1336.5319333970547,1342.8287198767066,40.83391698077321,1085.780835710466,623.509504,1.0,0.14923295683936894,28,20260726-193312
NightingaleCen-MacBook,373d028,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,0,1484.6816253848374,1701.516592130065,1708.2537178322673,51.66125018149614,1431.6763754468411,823.263232,1.0,0.14923295683936894,28,20260726-193354
NightingaleCen-MacBook,373d028,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,0,942.5172496121377,1194.5505844894797,1197.031551869586,72.963000042364,869.204624556005,880.246784,0.9642857142857143,0.2757472659429638,28,20260726-193424
NightingaleCen-MacBook,373d028,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,0,932.8249618411064,1144.881196739152,1153.0721356067806,81.07641688548028,851.2590448372066,901.087232,0.9642857142857143,0.27651039170608954,28,20260726-193451
NightingaleCen-MacBook,373d028,1.27.0,STT,C_raw,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,0,1515.8759565092623,2765.683668293059,2922.4206349998713,79.92566702887416,1432.6502894982696,796.524544,0.9285714285714286,0.2057042805467175,28,20260726-193539
NightingaleCen-MacBook,373d028,1.27.0,STT,C_raw,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,0,1485.095248091966,2643.9684603363276,2771.1969934776425,82.05933403223753,1395.6498322077096,552.861696,0.9285714285714286,0.2084099082523452,28,20260726-193625
