host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,a0db079,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,5,2,0,907.7672061976045,1153.466671705246,1168.7286725267768,35.71487497538328,871.0354142822325,543.735808,1.0,0.14923295683936894,28,20260726-192012
NightingaleCen-MacBook,a0db079,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,5,2,0,1167.8392919711769,1339.740191353485,1342.4002712126821,44.04908302240074,1123.7902089487761,552.009728,1.0,0.14923295683936894,28,20260726-192059
NightingaleCen-MacBook,a0db079,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,0,445.46074979007244,484.889210248366,490.6522771436721,64.3859589472413,374.1259998641908,465.64966400000003,1.0,1.25,28,20260726-192124
NightingaleCen-MacBook,a0db079,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,0,205.71975060738623,299.5985665358603,317.27884659543633,37.32599993236363,168.26575063169003,511.410176,1.0,0.9982142857142857,28,20260726-192132
NightingaleCen-MacBook,a0db079,1.27.0,STT,C_dyn,int8,disable_all,cpu,CPUExecutionProvider,def,5,2,0,790.7991665415466,1036.2457498908043,1053.246750794351,65.68416696973145,724.1701665334404,529.28512,0.9642857142857143,0.2757472659429638,28,20260726-192157
NightingaleCen-MacBook,a0db079,1.27.0,STT,C_dyn,int8,extended,xnnpack,CPUExecutionProvider,def,5,2,0,805.0755846779794,1057.2051625698805,1073.4935364872217,72.38395907916129,732.6916255988181,276.840448,0.9642857142857143,0.27651039170608954,28,20260726-192222
