host,git,ort,model,variant,dtype,opt_level,req_provider,act_provider,threads,measurements,warmup,max_new_tokens,p50,p95,p99,enc_p50,dec_p50,model_rss_mb,wer,cer,acc_n,ts
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,A,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1897.1677899826318,1968.8342332607135,1975.2045837743208,59.38454205170274,1817.5977901555598,633.126912,1.0,0.14923295683936894,28,20260726-204422
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,A,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,0,1507.743083871901,1538.0787087837234,1540.7752087758854,48.957457998767495,1459.7537086810917,750.927872,1.0,0.14923295683936894,28,20260726-204455
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,A_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1680.222749011591,1751.5132901258767,1757.8502271138132,57.13049997575581,1628.7504569627345,548.9950719999999,1.0,0.14923295683936894,28,20260726-204530
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,A_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,0,1652.5349977891892,1679.3960275361314,1681.7836746247485,54.692375008016825,1600.8417478296906,547.79904,1.0,0.14923295683936894,28,20260726-204607
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,C_raw,int8,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1790.0046224240214,2612.3139224015176,2685.4080823995173,82.12233311496675,1703.3615813124925,608.206848,0.9285714285714286,0.2057042805467175,28,20260726-204646
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,C_raw,int8,extended,xnnpack,CPUExecutionProvider,def,3,1,0,1714.2623364925385,2457.0906887063757,2523.119875569828,78.28041701577604,1635.9819194767624,546.308096,0.9285714285714286,0.2084099082523452,28,20260726-204719
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,B_skip_sim,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1920.3539115842432,1956.0548559995368,1959.2282732808962,57.30233318172395,1863.0515784025192,540.2624,1.0,0.14923295683936894,28,20260726-204801
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,B_skip_sim,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,0,1907.63600775972,1948.7361129838973,1952.3894556704909,63.79212508909404,1846.4783406816423,611.385344,1.0,0.14923295683936894,28,20260726-204839
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,B,fp32,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1843.6765393707901,1883.909015567042,1887.4852356733754,63.12008295208216,1784.6718314103782,651.34592,1.0,0.14923295683936894,28,20260726-204920
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,B,fp32,extended,xnnpack,CPUExecutionProvider,def,3,1,0,2012.8599151503295,2079.930614773184,2085.89245473966,66.22120807878673,1946.6387070715427,405.127168,1.0,0.14923295683936894,28,20260726-205002
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,C_skip_sim,int8,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1631.6049986053258,2319.718115008436,2380.8837253553793,72.34004093334079,1554.6047906391323,458.211328,0.9285714285714286,0.2057042805467175,28,20260726-205039
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,C_skip_sim,int8,extended,xnnpack,CPUExecutionProvider,def,3,1,0,1631.8555837497115,2319.6177718695253,2380.7521885912865,73.13562510535121,1555.7666667737067,387.104768,0.9285714285714286,0.2084099082523452,28,20260726-205116
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,C,int8,disable_all,cpu,CPUExecutionProvider,def,3,1,0,1033.1802507862449,1098.779596784152,1104.6106497617438,75.2590000629425,951.4191257767379,408.40396799999996,0.9642857142857143,0.2757472659429638,28,20260726-205141
NightingaleCen-MacBook,3c6f24b,1.27.0,STT,C,int8,extended,xnnpack,CPUExecutionProvider,def,3,1,0,973.2710008975118,1031.1610627453774,1036.3068460207433,76.4315000269562,892.72625092417,369.21344,0.9642857142857143,0.27651039170608954,28,20260726-205204
